,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
289,Östers IF,Lucas Ohlander,19,Central Midfield,Sweden,200000,Helsingborg,Sweden,"End of loanAug 1, 2012",out,2012
290,Mjällby AIF,Juan Robledo,33,Centre-Back,Chile,0,Kasimpasa,Turkey,free transfer,in,2012
291,Mjällby AIF,Anders Wikström,30,Centre-Back,Sweden,0,Elfsborg,Sweden,0,in,2012
292,Mjällby AIF,Mostapha El Kabir,23,Centre-Forward,Morocco,100000,Cagliari Calcio,Italy,"End of loanJun 30, 2012",in,2012
293,Mjällby AIF,Pavel Zavadil,34,Central Midfield,Czech Republic,0,Zbrojovka Brno,Czech Republic,0,out,2012
294,Mjällby AIF,Samuel Petrone,23,Centre-Forward,United States,0,Leiknir,Iceland,loan transfer,out,2012
295,Mjällby AIF,Erton Fejzullahu,24,Centre-Forward,Kosovo,300000,NEC Nijmegen,Netherlands,"End of loanJul 31, 2012",out,2012
296,Mjällby AIF,Dominique Kivuvu,24,Defensive Midfield,Angola,0,CFR Cluj,Romania,"End of loanAug 1, 2012",out,2012
297,Mjällby AIF,Anders Wikström,30,Centre-Back,Sweden,0,Elfsborg,Sweden,"End of loanJul 31, 2012",out,2012
298,IFK Norrköping,Christopher Meneses,23,Left-Back,Costa Rica,175000,LD Alajuelense,Costa Rica,150000,in,2012
299,IFK Norrköping,Riki Cakic,22,Centre-Forward,Sweden,0,Ljungskile,Sweden,"End of loanAug 1, 2012",in,2012
300,IFK Norrköping,Marcus Johansson,18,Centre-Forward,Sweden,0,Assyriska BK,Sweden,"End of loanAug 1, 2012",in,2012
301,IFK Norrköping,Astrit Ajdarevic,22,Central Midfield,Albania,150000,Standard Liège,Belgium,1700000,out,2012
302,IFK Norrköping,Riki Cakic,22,Centre-Forward,Sweden,0,IK Sleipner,Sweden,loan transfer,out,2012
303,IFK Norrköping,Shpetim Hasani,30,Centre-Forward,Kosovo,0,Örebro SK,Sweden,0,out,2012
304,Kalmar FF,Khadim N'Diaye,27,Goalkeeper,Senegal,250000,ASC Linguère,Senegal,loan transfer,in,2012
305,Kalmar FF,Filip Sachpekidis,15,Left Midfield,Sweden,200000,Kalmar U19,Sweden,0,in,2012
306,Kalmar FF,Johan Bertilsson,24,Second Striker,Sweden,300000,Jönköping,Sweden,loan transfer,out,2012
307,Kalmar FF,Kristoffer Fagercrantz,25,Central Midfield,Sweden,0,Halmstads BK,Sweden,loan transfer,out,2012
308,Kalmar FF,Tobias Carlsson,37,Centre-Back,Sweden,0,No club,No country,0,out,2012
309,Gefle IF,Sebastian Senatore,26,Left-Back,Sweden,100000,Varbergs BoIS,Sweden,free transfer,out,2012
310,Gefle IF,Hjalmar Öhagen,27,Defensive Midfield,Sweden,0,Sandviken,Sweden,free transfer,out,2012
